,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
26,Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000
27,Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000
28,Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000
29,Audi,100,1994,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,22,17,3105,2000
30,Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000
31,Audi,100,1994,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000
32,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,27495
33,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,24995
34,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,28195
35,Mercedes-Benz,190-Class,1991,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000
36,Mercedes-Benz,190-Class,1991,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000
37,Mercedes-Benz,190-Class,1992,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000
38,Mercedes-Benz,190-Class,1992,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000
39,Mercedes-Benz,190-Class,1993,regular unleaded,130.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000
40,Mercedes-Benz,190-Class,1993,regular unleaded,158.0,6.0,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000
41,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,32850
42,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Compact,Convertible,34,23,3916,38650
43,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20,3916,48750
44,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,23,3916,34850
45,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,Convertible,34,22,3916,40650
46,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20,3916,44150
47,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,34,22,3916,32850
48,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20,3916,46150
49,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20,3916,50750
50,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21,3916,46450
51,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,49050
52,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,all wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21,3916,51050
53,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21,3916,44450
54,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,34,23,3916,38950
55,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,35,24,3916,33150
56,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Compact,Coupe,33,24,3916,35150
57,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,2.0,Luxury,Compact,Convertible,33,23,3916,40950
58,Audi,200,1990,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000
59,Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Wagon,22,15,3105,2000
60,Audi,200,1990,regular unleaded,162.0,5.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,23,15,3105,2000
61,Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,22,16,3105,2000
62,Audi,200,1991,regular unleaded,217.0,5.0,MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Wagon,22,16,3105,2000
63,Audi,200,1991,regular unleaded,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,20,16,3105,2000
64,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25170
65,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,23950
66,Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29370
67,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995
68,Chrysler,200,2015,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,36,23,1013,26625
69,Chrysler,200,2015,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,30825
70,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995
71,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795
72,Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,31785
73,Chrysler,200,2016,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29905
74,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490
75,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27570
76,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690
77,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490
78,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,29905
79,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,31785
80,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,26685
81,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,22490
82,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,25690
83,Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,30900
84,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,27795
85,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,21995
86,Chrysler,200,2017,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Sedan,36,23,1013,24490
87,Nissan,200SX,1996,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,36,26,2009,2000
88,Nissan,200SX,1996,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,36,26,2009,2000
89,Nissan,200SX,1996,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000
90,Nissan,200SX,1997,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,29,21,2009,2000
91,Nissan,200SX,1997,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,25,2009,2000
92,Nissan,200SX,1997,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,25,2009,2000
93,Nissan,200SX,1998,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,25,2009,2000
94,Nissan,200SX,1998,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,35,25,2009,2000
95,Nissan,200SX,1998,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,28,20,2009,2073
96,Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3713
97,Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3520
98,Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,3910
99,Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4182
100,Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,26,19,2009,4107
101,Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4299
102,Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4693
103,Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,25,20,2009,4107
104,Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000
105,Volvo,240,1991,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,23,18,870,2000
106,Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
107,Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
108,Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,26,19,870,2000
109,Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
110,Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Sedan,26,19,870,2000
111,Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Luxury,Midsize,Wagon,25,18,870,2000
112,Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16020
113,Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14530
114,Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,16860
115,Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15370
116,Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050
117,Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560
118,Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210
119,Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720
120,Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,17050
121,Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,28,586,15560
122,Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,16210
123,Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,35,29,586,14720
124,BMW,3 Series Gran Turismo,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,47250
125,BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
126,BMW,3 Series Gran Turismo,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22,3916,41850
127,BMW,3 Series Gran Turismo,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22,3916,43000
128,BMW,3 Series Gran Turismo,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49200
129,BMW,3 Series Gran Turismo,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49650
130,BMW,3 Series Gran Turismo,2017,premium unleaded (required),248.0,4.0,AUTOMATIC,all wheel drive,4.0,"Hatchback,Luxury",Midsize,4dr Hatchback,33,23,3916,43950
131,BMW,3 Series,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,33,22,3916,41950
132,BMW,3 Series,2015,premium unleaded (required),335.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25,3916,50150
133,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500
134,BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,43750
135,BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,45,32,3916,39000
136,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,22,3916,39500
137,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,22,3916,39500
138,BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,34950
139,BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,30,20,3916,45750
140,BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,43,31,3916,43450
141,BMW,3 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,35,23,3916,37500
142,BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,43,31,3916,41000
143,BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,32950
144,BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,41850
145,BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,47800
146,BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,39850
147,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
148,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,34,22,3916,40350
149,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
150,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,34,22,3916,42650
151,BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,36,24,3916,33150
152,BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,35150
153,BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44150
154,BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,22,3916,45800
155,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,23,3916,38750
156,BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,34,23,3916,35450
157,BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,35,23,3916,33450
158,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,33,23,3916,40750
159,BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,40,30,3916,42250
160,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,33,23,3916,42950
161,BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,42,32,3916,40250
162,BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,21,3916,49900
163,BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,32,21,3916,47900
164,BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Wagon,40,30,3916,44450
165,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2232
166,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Wagon,20,15,617,2000
167,Mercedes-Benz,300-Class,1991,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,17,617,2000
168,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,20,15,617,2105
169,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,18,15,617,2199
170,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,16,617,2000
171,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,19,15,617,2124
172,Mercedes-Benz,300-Class,1991,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,21,14,617,3552
173,Mercedes-Benz,300-Class,1991,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Luxury,Midsize,Coupe,22,15,617,2179
174,Mercedes-Benz,300-Class,1991,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,30,23,617,2000
175,Mercedes-Benz,300-Class,1992,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,29,23,617,2000
